title,author,id
秋夕,杜荀鹤
春怨,王昌龄
三台二首 二,韦应物
春梦,岑参
冬夕,岑参
春夜别友人二首 一,陈子昂
同卫八题陆少府书斋,高适
寻白鹤岩张子容隐居,孟浩然
禁中寓直梦游仙游寺,白居易
寄龙池寺贞空二上人,贾岛
詶鄠县李廓少府见寄,贾岛
赠越僧岳云二首 一,温庭筠
秋日旅舍卧病呈所知,杜荀鹤
菩萨蛮 六,温庭筠
菩萨蛮 十,温庭筠
和振上人秋夜怀士会,王昌龄
宫中行乐词八首 五,李白
宫中行乐词八首 七,李白
南塘泛舟会元六昆季,韦应物
酌酒与裴迪,王维
江上逢友人,杜牧
湘中赠范郧,罗隐
山居寄同志,杜荀鹤
秋日泊浦江,杜荀鹤
二月晦日留别鄠中友人,贾岛
宿业师山房期丁大不至,孟浩然
晚春严少尹与诸公见过,王维
恭懿太子挽歌五首 二,王维
送郑堪归东京泛水别业,岑参
听弹风入松阕赠杨补阙,王昌龄
长安早春旅怀,白居易
献新安于尚书,杜荀鹤
杂体诗 胥口即事六言二首 二,皮日休
秋兴八首 七,杜甫
秋夜与友人宿,杜牧
送崔珏往西川,李商隐
题李处士幽居,温庭筠
桃源（二首） 二,李白
暮江吟,白居易
和游房公旧竹亭闻琴绝句,刘禹锡
思妇眉,白居易
采莲曲,白居易
新栽梅,白居易
送窦七,王昌龄
胡蝶飞,李贺
采莲曲,贺知章
樱桃花,皮日休
杂曲歌辞 乐府三首 一,孟郊
杂曲歌辞 乐府三首 三,孟郊
二月十九日酬王十八全素,元稹
阶下莲,白居易
厅前桂,白居易
长安春,白居易
独眠吟二首 二,白居易
长洲苑,白居易
空闺怨,白居易
九日代罗樊二妓招舒著作,白居易
忆晦叔,白居易
府西池,白居易
罗敷水,白居易
新小滩,白居易
少年行,杜牧
华清宫,杜牧
金谷园,杜牧
齐宫词,李商隐
詶姚合,贾岛
赠少年,温庭筠
严陵滩,罗隐
田园乐七首 三,王维
田园乐七首 六,王维
渭城曲,王维
甘泉歌,王昌龄
和元八侍御升平新居四绝句 松树,白居易
杂体诗 怀鹿门县名离合二首 二,皮日休
和乐天春词依忆江南曲拍为句 二,刘禹锡
五年秋病后独宿香山寺三绝句 二,白居易
城傍曲,王昌龄
咏廿四气诗 雨水正月中,元稹
江南行,罗隐
喜杨六侍御同宿,白居易
杜工部蜀中离席,李商隐
琴曲歌辞 湘妃,李贺
百花亭晚望夜归,白居易
感遇诗三十八首 二十六,陈子昂
使青夷军入居庸三首 二,高适
再经故元九相公宅池上作,刘禹锡
咏廿四气诗 芒种五月节,元稹
河南府试十二月乐词 二月,李贺
劳劳亭歌,李白
酬乐天叹穷愁见寄,元稹
早秋苦热堆案相仍,杜甫
休澣日西掖谒所知,温庭筠
秋晚新晴夜月如练有怀乐天,刘禹锡
十一月中旬至扶风界见梅花,李商隐
相和歌辞 从军行二首 一,李白
杂曲歌辞 十二月乐辞 二月,李贺
途中寒食,白居易
舟夜赠内,白居易
二月二日,白居易
咸阳值雨,温庭筠
旅舍遇雨,杜荀鹤
镇州初归,韩愈
重题后池,皮日休
横吹曲辞 白鼻䯄,李白
洛桥晚望,孟郊
长安闲居,白居易
杭州回舫,白居易
杨家南亭,白居易
宿龙潭寺,白居易
苏州故吏,白居易
九老图诗,白居易
重送绝句,杜牧
洛阳秋夕,杜牧
经苏秦墓,贾岛
行次汉上,贾岛
冬夜送人,贾岛
题端正树,温庭筠
竹下残雪,罗隐
闽中秋思,杜荀鹤
秋夕病中,杜荀鹤
秋夜闻砧,杜荀鹤
卢溪主人,王昌龄
寄黄尊师,韦应物
滁州西涧,韦应物
赵将军歌,岑参
醉题匡城周少府厅壁,岑参
初春雨中舟次和州横江裴使君见迎李赵二秀才同来因书四韵兼寄江南许浑先辈,杜牧
和友人寄长林孟明府,杜荀鹤
荅梦得八月十五日夜玩月见寄,白居易
云安九日郑十八携酒陪诸公宴,杜甫
暮春题瀼西新赁草屋五首 三,杜甫
适越留别谯县张主簿申屠少府,孟浩然
经东都安国观九仙公主旧院作,刘禹锡
题安州浮云寺楼寄湖州张郎中,杜牧
菩提寺上方晚望香山寺寄舒员外,白居易
锦城曲,温庭筠
鹤,杜牧
雨,李商隐
早蝉,白居易
九月八日酬皇甫十见赠,白居易
初冬月夜得皇甫泽州手札幷诗数篇因遣报书偶题长句,白居易
长相思 一,李白
琴曲歌辞 山人劝酒,李白
和微之诗二十三首 和顺之琴者,白居易
雨夜忆元九,白居易
忆江南 一,白居易
陪郑广文游何将军山林十首 六,杜甫
陪郑广文游何将军山林十首 九,杜甫
陪郑广文游何将军山林十首 十,杜甫
河渎神 一,温庭筠
洞庭醉后送绛州吕使君果流澧州,李白
惠山听松庵,皮日休
王录事许修草堂赀不到聊小诘,杜甫
忆蜀地佳人,骆宾王
夜看樱桃花,皮日休
唐郎中宅与诸公同饮酒看牡丹,刘禹锡
西明寺牡丹,元稹
临江送夏瞻,白居易
九日寄行简,白居易
白莲池泛舟,白居易
寄令狐郎中,李商隐
代魏宫私赠,李商隐
崔卿池上鹤,贾岛
送灵应上人,贾岛
中秋不见月,罗隐
桂殿秋 二,李白
清平调 一,李白
送人归江夏,王昌龄
与村老对饮,韦应物
送崔子还京,岑参
答王参,贾岛
携妓登梁王栖霞山孟氏桃园中,李白
相和歌辞 江南曲,罗隐
九日寄微之,白居易
对雪,杜甫
琴台,杜甫
对雨,杜甫
又雪,杜甫
子规,杜甫
归雁,杜甫
阴雨,白居易
连雨,白居易
夜雨,杜牧
高松,李商隐
细雨,温庭筠
雪霁,罗隐
初月,李白
春望,杜甫
遣怀,杜甫
归燕,杜甫
送远,杜甫
晚晴,杜甫
游子,杜甫
远游,杜甫
晚晴,杜甫
向夕,杜甫
舟中,杜甫
柳边,杜甫
和浙西尚书闻常州杨给事制新楼因寄之作,刘禹锡
晚秋,元稹
秋思,白居易
早秋,杜牧
秋日,杜牧
石池,杜牧
垂柳,李商隐
李花,李商隐
思归,李商隐
细雨,李商隐
即日,李商隐
咏云,李商隐
寓目,李商隐
长柳,王勃
送僧,贾岛
观猎,王维
除日,韦应物
劝酒十四首 不如来饮酒七首 一,白居易
赠益府裴录事,卢照邻
奉和鲁望渔具十五咏 {𥫗/䅟},皮日休
琴,白居易
风,李商隐
行至金牛驿寄兴元渤海尚书,李商隐
怀郑从志,贾岛
重经昭陵,杜甫
南浦岁暮对酒送王十五归京,白居易
经故秘书崔监扬州南塘旧居,温庭筠
江南逢李龟年,杜甫
春雪过皇甫家,白居易
新雪二首 一,白居易
新雪二首 二,白居易
洛中二首 二,杜牧
题韦云叟草堂,贾岛
宣城见杜鹃花,李白
月夜,韦应物
听张立本女吟,高适
喜康将军见访,刘禹锡
酬荅二首 二,李贺
与李十一夜饮,元稹
所思二首 二,元稹
送元八归凤翔,白居易
酬王十八见寄,白居易
醉后却寄元九,白居易
韩公堆寄元九,白居易
听崔七妓人筝,白居易
听李士良琵琶,白居易
送李群玉赴举,杜牧
代人寄远六言二首 二,杜牧
江上偶见绝句,杜牧
赠别二首 一,杜牧
杨柳八首 三,温庭筠
钓侣二章 一,皮日休
送别,王维
送沈子归江东,王维
戏题辋川别业,王维
出塞二首 一,王昌龄
送高三之桂林,王昌龄
南流夜郎寄内,李白
过燕支寄杜位,岑参
梅花落,卢照邻
古风 三十七,李白
河南府试十二月乐词 九月,李贺
夜泊黄山闻殷十四吴吟,李白
送王七尉松滋得阳台云,孟浩然
梅花落,杨炯
折杨柳,杨炯
古离别,孟郊
绿水词,李贺
月临花,元稹
闻夜砧,白居易
雪晴访赵嘏街西所居三韵,杜牧
八仙迳,王勃
嘲春风,温庭筠
苏小小歌,温庭筠
关山月,李白
客旧馆,杜甫
陇头水,卢照邻
蜀国弦,李贺
周先生,元稹
酬胡遇,贾岛
宿山寺,贾岛
握柘词,温庭筠
禁火日,温庭筠
溪居叟,杜荀鹤
幽居（斯五五五。下同）,王勃
千里思,李白
谢公亭,李白
简恒璨,韦应物
简卢陟,韦应物
送李二十九兄员外赴邠宁使幕,刘禹锡
奉和鲁望四月十五日道室书事,皮日休
首春渭西郊行呈蓝田张二主簿,岑参
秋怀 二,孟郊
游终南山,孟郊
青城暮雨,皮日休
舞衣曲,温庭筠
拟古十二首 六,李白
五松山送殷淑,李白
古风 三十九,李白
七月一日题终明府水楼二首 一,杜甫
七月一日题终明府水楼二首 二,杜甫
寄陕州姚中丞,刘禹锡
送郑司仓入蜀,卢照邻
感讽五首 五,李贺
陪王使君晦日泛江就黄家亭子二首 二,杜甫
开成大行皇帝挽歌词四首奉敕撰进 三,白居易
饯校书叔云,李白
西阁雨望,杜甫
河南府试十二月乐词 六月,李贺
新秋夜雨,白居易
雪晴晚望,贾岛
